,date,time,c-ip,cs-username,s-ip,s-port,cs-method,cs-uri-stem,sc-status,sc-win32-status,sc-substatus,time-taken,x-session,x-fullpath
881,2021-01-06,00:41:59,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
882,2021-01-06,00:41:59,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
883,2021-01-06,00:41:59,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,NLST,-alL,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/
884,2021-01-06,00:42:04,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,CWD,/FTP600A,550,2,3,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP600A
885,2021-01-06,00:42:07,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,CWD,/FTP6001,250,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001
886,2021-01-06,00:42:07,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,XPWD,-,257,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
887,2021-01-06,00:42:07,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
888,2021-01-06,00:42:07,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,134",200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
889,2021-01-06,00:42:07,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
890,2021-01-06,00:42:07,172.30.5.84,RGSV920\HOST0001,172.30.9.85,20,DataChannelClosed,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
891,2021-01-06,00:42:07,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,NLST,-alL,226,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/FTP6001
