timestamp,c-ip,count,timestamp_ts
2021-08-27,172.31.124.1,533,2428.0
2021-08-27,172.31.124.31,2,8.0
2021-08-27,172.31.74.120,832,849.0
2021-08-27,172.31.74.28,1,2.0
2021-08-28,10.161.32.87,22967,31089.0
2021-08-28,10.161.38.190,193,425.0
2021-08-28,10.161.54.255,1082,2491.0
2021-08-28,10.168.56.49,3167,4087.0
2021-08-28,172.26.241.179,1,130.0
2021-08-28,172.28.85.145,1,11.0
2021-08-28,172.28.85.21,1,2.0
2021-08-28,172.29.80.7,3,3.0
2021-08-28,172.30.4.122,6,9.0
2021-08-28,172.30.9.84,6542,6598.0
2021-08-28,172.31.124.1,235,1927.0
2021-08-28,172.31.74.120,314,324.0
2021-08-28,172.31.74.28,1,2.0
2021-08-29,10.161.32.87,10213,13967.0
2021-08-29,10.161.38.190,1,2.0
2021-08-29,10.161.54.255,15,230.0
2021-08-29,10.168.56.49,1487,1953.0
2021-08-29,172.28.85.145,1,11.0
2021-08-29,172.28.85.21,1,1.0
2021-08-29,172.30.4.122,5,7.0
2021-08-29,172.30.9.84,2912,2943.0
2021-08-29,172.31.124.1,84,1023.0
2021-08-29,172.31.74.120,49,49.0
2021-08-30,10.161.32.87,22349,28991.0
2021-08-30,10.161.38.190,458,1930.0
2021-08-30,10.161.54.255,1384,3289.0
2021-08-30,10.168.56.49,3445,4810.0
2021-08-30,10.169.60.142,3,10.0
2021-08-30,172.26.241.178,2,167.0
2021-08-30,172.28.69.82,1,1.0
2021-08-30,172.28.85.145,1,11.0
2021-08-30,172.28.85.21,1,2.0
2021-08-30,172.28.92.63,1,2.0
2021-08-30,172.29.80.7,9,9.0
2021-08-30,172.30.4.122,1,1.0
2021-08-30,172.30.5.129,5,320.0
2021-08-30,172.30.5.36,5,513.0
2021-08-30,172.30.5.67,1,130.0
2021-08-30,172.30.9.84,6488,6611.0
2021-08-30,172.31.124.1,412,1307.0
2021-08-30,172.31.124.31,6,24.0
2021-08-30,172.31.74.120,784,797.0
2021-08-31,10.161.32.87,21906,29060.0
2021-08-31,10.161.38.190,433,1762.0
2021-08-31,10.161.54.255,1392,3366.0
2021-08-31,10.168.56.49,3447,4847.0
2021-08-31,10.169.60.142,3,8.0
2021-08-31,172.26.241.178,2,156.0
2021-08-31,172.26.241.179,8,1037.0
2021-08-31,172.26.245.129,14,2140.0
2021-08-31,172.28.69.82,1,1.0
2021-08-31,172.28.85.145,1,12.0
2021-08-31,172.28.85.21,1,1.0
2021-08-31,172.28.92.63,1,2.0
2021-08-31,172.29.80.7,9,9.0
2021-08-31,172.30.4.122,6,8.0
2021-08-31,172.30.5.36,8,1168.0
2021-08-31,172.30.5.67,1,179.0
2021-08-31,172.30.6.96,1,3526.0
2021-08-31,172.30.9.84,6494,6620.0
2021-08-31,172.31.124.1,530,3105.0
2021-08-31,172.31.124.31,2,16.0
2021-08-31,172.31.74.120,811,823.0
2021-08-31,172.31.74.28,1,2.0
2021-08-31,192.168.66.80,2,269.0
2021-09-01,-,1,1.0
2021-09-01,10.161.32.87,21829,29181.0
2021-09-01,10.161.38.190,580,2233.0
2021-09-01,10.161.54.255,1194,3133.0
2021-09-01,10.168.56.49,3297,4632.0
2021-09-01,10.169.60.142,3,14.0
2021-09-01,172.26.241.178,3,287.0
2021-09-01,172.26.245.129,3,151.0
2021-09-01,172.28.69.82,1,1.0
2021-09-01,172.28.85.145,1,12.0
2021-09-01,172.28.85.21,1,2.0
2021-09-01,172.28.92.63,1,1.0
2021-09-01,172.29.80.7,9,10.0
2021-09-01,172.30.4.122,6,9.0
2021-09-01,172.30.5.24,1,12.0
2021-09-01,172.30.5.36,1,87.0
2021-09-01,172.30.5.67,3,223.0
2021-09-01,172.30.9.84,6494,6624.0
2021-09-01,172.31.124.1,547,3064.0
2021-09-01,172.31.124.31,5,31.0
2021-09-01,172.31.74.120,821,836.0
2021-09-01,172.31.74.28,1,2.0
2021-09-01,192.168.66.80,6,375.0
2021-09-02,10.161.32.87,18457,26950.0
2021-09-02,10.161.38.190,460,2645.0
2021-09-02,10.161.54.255,684,3265.0
2021-09-02,10.168.56.49,617,1290.0
2021-09-02,10.169.60.142,3,13.0
2021-09-02,172.26.241.178,9,637.0
2021-09-02,172.28.69.63,1,1.0
2021-09-02,172.28.85.145,1,12.0
2021-09-02,172.28.85.21,1,1.0
2021-09-02,172.28.92.63,1,2.0
2021-09-02,172.29.80.7,9,9.0
2021-09-02,172.30.4.122,6,10.0
2021-09-02,172.30.5.125,7,925.0
2021-09-02,172.30.5.129,15,2208.0
2021-09-02,172.30.5.135,1,132.0
2021-09-02,172.30.5.214,2,19516.0
2021-09-02,172.30.5.36,1,82.0
2021-09-02,172.30.9.84,6443,6575.0
2021-09-02,172.31.124.1,555,2539.0
2021-09-02,172.31.124.31,6,20.0
2021-09-02,172.31.74.120,843,859.0
2021-09-02,172.31.74.28,1,3.0
2021-09-03,10.161.32.87,22054,29186.0
2021-09-03,10.161.38.190,498,2203.0
2021-09-03,10.161.54.255,1324,3227.0
2021-09-03,10.168.56.49,3105,4428.0
2021-09-03,10.169.60.142,3,6.0
2021-09-03,172.26.241.178,3,244.0
2021-09-03,172.28.69.82,1,1.0
2021-09-03,172.28.85.145,1,12.0
2021-09-03,172.28.85.21,1,2.0
2021-09-03,172.28.92.63,1,2.0
2021-09-03,172.29.80.7,9,10.0
2021-09-03,172.30.4.122,6,8.0
2021-09-03,172.30.5.135,1,4724.0
2021-09-03,172.30.5.36,1,85.0
2021-09-03,172.30.9.84,6486,6619.0
2021-09-03,172.31.124.1,546,2444.0
2021-09-03,172.31.124.31,2,9.0
2021-09-03,172.31.74.120,843,860.0
2021-09-03,172.31.74.28,1,3.0
2021-09-03,192.168.66.80,3,33.0
2021-09-04,10.161.32.87,23500,30256.0
2021-09-04,10.161.38.190,195,447.0
2021-09-04,10.161.54.255,1098,2529.0
2021-09-04,10.168.56.49,3167,4013.0
2021-09-04,172.28.85.145,1,10.0
2021-09-04,172.28.85.21,1,1.0
2021-09-04,172.28.92.63,1,2.0
2021-09-04,172.29.80.7,3,3.0
2021-09-04,172.30.4.122,6,9.0
2021-09-04,172.30.9.84,6542,6594.0
2021-09-04,172.31.124.1,240,1778.0
2021-09-04,172.31.74.120,325,333.0
2021-09-04,172.31.74.28,1,2.0
2021-09-05,10.161.32.87,10515,14115.0
2021-09-05,10.161.38.190,1,1.0
2021-09-05,10.161.54.255,17,195.0
2021-09-05,10.168.56.49,1832,2365.0
2021-09-05,172.28.85.145,1,11.0
2021-09-05,172.28.85.21,1,1.0
2021-09-05,172.30.4.122,5,9.0
2021-09-05,172.30.9.84,2912,2941.0
2021-09-05,172.31.124.1,90,1117.0
2021-09-05,172.31.74.120,49,49.0
2021-09-06,10.161.32.87,22574,28970.0
2021-09-06,10.161.38.190,459,1887.0
2021-09-06,10.161.54.255,1118,2974.0
2021-09-06,10.168.56.49,3460,4734.0
2021-09-06,10.169.60.142,3,7.0
2021-09-06,172.26.241.178,6,651.0
2021-09-06,172.28.69.82,1,1.0
2021-09-06,172.28.85.145,1,11.0
2021-09-06,172.28.85.21,1,1.0
2021-09-06,172.28.92.63,1,2.0
2021-09-06,172.29.80.7,9,9.0
2021-09-06,172.30.4.122,1,2.0
2021-09-06,172.30.5.36,1,77.0
2021-09-06,172.30.5.67,1,130.0
2021-09-06,172.30.9.84,6491,6601.0
2021-09-06,172.31.124.1,413,1330.0
2021-09-06,172.31.124.31,2,12.0
2021-09-06,172.31.74.120,784,806.0
2021-09-07,10.161.32.87,21752,29496.0
2021-09-07,10.161.38.190,460,1874.0
2021-09-07,10.161.54.255,1233,3164.0
2021-09-07,10.168.56.49,3088,4489.0
2021-09-07,10.169.60.142,3,7.0
2021-09-07,172.26.241.178,3,173.0
2021-09-07,172.28.69.82,1,1.0
2021-09-07,172.28.85.145,1,11.0
2021-09-07,172.28.85.21,1,2.0
2021-09-07,172.28.92.63,1,2.0
2021-09-07,172.29.80.7,9,9.0
2021-09-07,172.30.4.122,6,10.0
2021-09-07,172.30.5.36,1,76.0
2021-09-07,172.30.5.67,1,130.0
2021-09-07,172.30.9.84,6516,6637.0
2021-09-07,172.31.124.1,547,2625.0
2021-09-07,172.31.124.31,3,12.0
2021-09-07,172.31.74.120,843,859.0
2021-09-07,172.31.74.28,1,2.0
2021-09-08,10.161.32.87,22055,29149.0
2021-09-08,10.161.38.190,459,1909.0
2021-09-08,10.161.54.255,1274,3164.0
2021-09-08,10.168.56.49,3102,4411.0
2021-09-08,10.169.60.142,3,7.0
2021-09-08,172.26.241.178,3,260.0
2021-09-08,172.28.69.82,1,1.0
2021-09-08,172.28.85.145,1,10.0
2021-09-08,172.28.85.21,1,2.0
2021-09-08,172.28.92.63,1,2.0
2021-09-08,172.29.80.7,9,9.0
2021-09-08,172.30.4.122,6,9.0
2021-09-08,172.30.5.129,2,554.0
2021-09-08,172.30.5.36,4,350.0
2021-09-08,172.30.9.84,6470,6593.0
